Trial,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,42.3 ± 7.8,55.5 ± 7.8,2.2 ± 0.0,20.78 ± 1.31,---
2,59.2 ± 8.6,39.6 ± 7.8,1.2 ± 0.9,19.83 ± 0.27,$+16.9$
3,67.2 ± 6.5,32.1 ± 5.8,0.7 ± 0.7,19.03 ± 0.16,$+8.0$
4,74.4 ± 6.8,23.9 ± 6.8,1.7 ± 0.4,18.86 ± 0.80,$+7.2$
5,78.9 ± 6.9,19.2 ± 7.3,2.0 ± 0.4,18.77 ± 0.33,$+4.5$
6,81.8 ± 5.0,16.9 ± 4.7,1.2 ± 0.4,18.48 ± 0.38,$+3.0$
7,84.8 ± 5.0,14.2 ± 4.5,1.0 ± 0.4,18.68 ± 0.63,$+3.0$
8,87.8 ± 3.7,11.7 ± 3.5,0.5 ± 0.4,18.64 ± 0.65,$+3.0$
9,90.3 ± 2.2,9.7 ± 2.2,0.0 ± 0.0,18.54 ± 0.64,$+2.5$
10,91.3 ± 2.6,8.5 ± 2.3,0.2 ± 0.4,18.73 ± 0.36,$+1.0$
