Trial,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,38.1 ± 11.0,49.2 ± 11.0,12.7 ± 16.8,19.75 ± 3.52,---
2,57.2 ± 3.1,35.6 ± 8.2,7.2 ± 6.4,20.00 ± 0.79,$+19.2$
3,72.6 ± 7.2,26.1 ± 8.1,1.2 ± 0.9,20.98 ± 0.18,$+15.4$
4,80.8 ± 8.5,18.4 ± 7.8,0.7 ± 0.7,20.62 ± 0.32,$+8.2$
5,87.3 ± 8.1,12.7 ± 8.1,0.0 ± 0.0,20.75 ± 0.24,$+6.5$
6,89.1 ± 7.2,10.7 ± 6.9,0.2 ± 0.4,20.66 ± 0.30,$+1.7$
7,90.5 ± 7.1,9.5 ± 7.1,0.0 ± 0.0,20.36 ± 0.24,$+1.5$
8,91.5 ± 6.0,8.5 ± 6.0,0.0 ± 0.0,20.72 ± 0.45,$+1.0$
9,93.5 ± 4.5,6.2 ± 4.1,0.2 ± 0.4,20.66 ± 0.25,$+2.0$
10,93.8 ± 4.1,6.2 ± 4.1,0.0 ± 0.0,20.74 ± 0.21,$+0.2$
