Trial,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,37.6 ± 9.9,48.5 ± 5.2,13.9 ± 13.3,18.32 ± 1.61,---
2,48.0 ± 0.4,40.5 ± 4.2,11.4 ± 4.4,16.16 ± 2.94,$+10.5$
3,51.0 ± 3.4,34.8 ± 2.4,14.2 ± 3.9,14.86 ± 1.66,$+3.0$
4,52.0 ± 3.8,35.1 ± 2.2,12.9 ± 2.8,14.70 ± 0.70,$+1.0$
5,53.0 ± 3.0,33.3 ± 1.6,13.7 ± 3.0,14.30 ± 0.98,$+1.0$
6,53.7 ± 3.0,34.6 ± 3.4,11.7 ± 1.7,14.87 ± 0.59,$+0.7$
7,55.0 ± 3.4,23.4 ± 7.4,21.6 ± 7.6,13.58 ± 1.34,$+1.2$
8,55.2 ± 3.4,32.6 ± 3.1,12.2 ± 3.0,14.69 ± 0.41,$+0.2$
9,57.2 ± 3.7,31.1 ± 3.4,11.7 ± 4.6,14.58 ± 1.07,$+2.0$
10,57.5 ± 3.9,28.9 ± 2.8,13.7 ± 6.0,14.60 ± 1.79,$+0.2$
