Iter,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,---
2,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
3,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
4,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
5,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
6,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
7,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
8,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
9,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
10,94.7 ± 3.1,0.0 ± 0.0,5.3 ± 3.1,1.00 ± 0.00,$+0.0$
