Iter,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,77.3 ± 9.0,22.0 ± 10.0,0.7 ± 1.2,1.00 ± 0.00,---
2,79.3 ± 7.0,20.0 ± 8.0,0.7 ± 1.2,1.22 ± 0.10,$+2.0$
3,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,1.41 ± 0.18,$+2.0$
4,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,1.57 ± 0.24,$+0.0$
5,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,1.73 ± 0.29,$+0.0$
6,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,1.89 ± 0.34,$+0.0$
7,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,2.05 ± 0.40,$+0.0$
8,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,2.21 ± 0.45,$+0.0$
9,81.3 ± 5.0,18.0 ± 6.0,0.7 ± 1.2,2.37 ± 0.50,$+0.0$
10,94.0 ± 2.0,5.3 ± 3.1,0.7 ± 1.2,2.53 ± 0.55,$+12.7$
