Iter,Success,Fail,Halt,AvgSteps,DeltaSuccess
1,77.3 ± 6.4,20.0 ± 6.9,2.7 ± 1.2,1.00 ± 0.00,---
2,78.7 ± 4.2,18.7 ± 4.6,2.7 ± 1.2,1.20 ± 0.07,$+1.3$
3,78.7 ± 4.2,18.7 ± 4.6,2.7 ± 1.2,1.37 ± 0.13,$+0.0$
4,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,1.53 ± 0.18,$+0.7$
5,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,1.69 ± 0.24,$+0.0$
6,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,1.84 ± 0.30,$+0.0$
7,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,1.99 ± 0.36,$+0.0$
8,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,2.15 ± 0.42,$+0.0$
9,79.3 ± 5.0,18.0 ± 5.3,2.7 ± 1.2,2.30 ± 0.48,$+0.0$
10,92.0 ± 3.5,5.3 ± 2.3,2.7 ± 1.2,2.45 ± 0.54,$+12.7$
